datetime_utc,value,parameter,unit,sensor_id,location_name,city,country
2016-01-30 00:30:00+00:00,1188.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 00:30:00+00:00,1844.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 00:45:00+00:00,8467.0,co,µg/m³,5373,100 ail,Unknown,MN
2016-01-30 00:45:00+00:00,1904.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 00:45:00+00:00,1475.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 01:00:00+00:00,19.18,pm10,µg/m³,45,Inpesca,Unknown,CL
2016-01-30 01:00:00+00:00,833.4,co,µg/m³,209,Los Vientos,Unknown,CL
2016-01-30 01:00:00+00:00,141.1,co,µg/m³,4230,Nijmegen-Graafseweg,Unknown,NL
2016-01-30 01:00:00+00:00,7.0,no2,µg/m³,251,Southwark A2 Old Kent Road,Unknown,GB
2016-01-30 01:00:00+00:00,732.0,co,µg/m³,4990,Konarskiego,Unknown,PL
2016-01-30 01:00:00+00:00,32.79,pm10,µg/m³,110,Curicó,Unknown,CL
2016-01-30 01:00:00+00:00,1303.0,co,µg/m³,1454,Bukhiin urguu,Unknown,MN
2016-01-30 01:00:00+00:00,28.0,no2,µg/m³,238,London Bloomsbury,Unknown,GB
2016-01-30 01:00:00+00:00,27.0,pm25,µg/m³,219,Shanghai,Unknown,CN
2016-01-30 01:00:00+00:00,1436.0,co,µg/m³,5136,MNB,Unknown,MN
2016-01-30 01:00:00+00:00,10.9458333333333,pm10,µg/m³,4700,Amsterdam-Westerpark,Unknown,NL
2016-01-30 01:00:00+00:00,686.9,co,µg/m³,4422,Coyhaique II,Unknown,CL
2016-01-30 01:00:00+00:00,237.3,co,µg/m³,165,IJmuiden-Kanaaldijk,Unknown,NL
2016-01-30 01:00:00+00:00,560.8,co,µg/m³,223,Escuela E-10,Unknown,CL
2016-01-30 01:00:00+00:00,189.3,co,µg/m³,164,Amsterdam-Van Diemenstraat,Unknown,NL
2016-01-30 01:00:00+00:00,1925.0,co,µg/m³,108,Baruun 4 zam,Unknown,MN
2016-01-30 01:00:00+00:00,-999.0,co,µg/m³,167,Wijk aan Zee-Burgemeester Rothestraat,Unknown,NL
2016-01-30 01:00:00+00:00,-999.0,co,µg/m³,162,Badhoevedorp-Sloterweg,Unknown,NL
