value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
76.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-29T23:30:00Z,2016-01-30T07:30:00+08:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-29T23:30:00Z,2016-01-30T07:30:00+08:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00
72.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-30T08:00:00+08:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:00:00Z,2016-01-30T08:00:00+08:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00
78.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00
77.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00
65.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00
68.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00,2016-01-30T03:00:00Z,2016-01-30T11:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00,2016-01-30T03:00:00Z,2016-01-30T11:00:00+08:00
59.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00,2016-01-30T03:30:00Z,2016-01-30T11:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00,2016-01-30T03:30:00Z,2016-01-30T11:30:00+08:00
57.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T03:00:00Z,2016-01-30T11:00:00+08:00,2016-01-30T04:00:00Z,2016-01-30T12:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T03:00:00Z,2016-01-30T11:00:00+08:00,2016-01-30T04:00:00Z,2016-01-30T12:00:00+08:00
50.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T03:30:00Z,2016-01-30T11:30:00+08:00,2016-01-30T04:30:00Z,2016-01-30T12:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T03:30:00Z,2016-01-30T11:30:00+08:00,2016-01-30T04:30:00Z,2016-01-30T12:30:00+08:00
44.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T04:00:00Z,2016-01-30T12:00:00+08:00,2016-01-30T05:00:00Z,2016-01-30T13:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T04:00:00Z,2016-01-30T12:00:00+08:00,2016-01-30T05:00:00Z,2016-01-30T13:00:00+08:00
44.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T04:30:00Z,2016-01-30T12:30:00+08:00,2016-01-30T05:30:00Z,2016-01-30T13:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T04:30:00Z,2016-01-30T12:30:00+08:00,2016-01-30T05:30:00Z,2016-01-30T13:30:00+08:00
44.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T05:00:00Z,2016-01-30T13:00:00+08:00,2016-01-30T06:00:00Z,2016-01-30T14:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T05:00:00Z,2016-01-30T13:00:00+08:00,2016-01-30T06:00:00Z,2016-01-30T14:00:00+08:00
53.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T05:30:00Z,2016-01-30T13:30:00+08:00,2016-01-30T06:30:00Z,2016-01-30T14:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T05:30:00Z,2016-01-30T13:30:00+08:00,2016-01-30T06:30:00Z,2016-01-30T14:30:00+08:00
46.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T06:00:00Z,2016-01-30T14:00:00+08:00,2016-01-30T07:00:00Z,2016-01-30T15:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T06:00:00Z,2016-01-30T14:00:00+08:00,2016-01-30T07:00:00Z,2016-01-30T15:00:00+08:00
43.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T06:30:00Z,2016-01-30T14:30:00+08:00,2016-01-30T07:30:00Z,2016-01-30T15:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T06:30:00Z,2016-01-30T14:30:00+08:00,2016-01-30T07:30:00Z,2016-01-30T15:30:00+08:00
48.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T07:00:00Z,2016-01-30T15:00:00+08:00,2016-01-30T08:00:00Z,2016-01-30T16:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T07:00:00Z,2016-01-30T15:00:00+08:00,2016-01-30T08:00:00Z,2016-01-30T16:00:00+08:00
47.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T07:30:00Z,2016-01-30T15:30:00+08:00,2016-01-30T08:30:00Z,2016-01-30T16:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T07:30:00Z,2016-01-30T15:30:00+08:00,2016-01-30T08:30:00Z,2016-01-30T16:30:00+08:00
47.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T08:00:00Z,2016-01-30T16:00:00+08:00,2016-01-30T09:00:00Z,2016-01-30T17:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T08:00:00Z,2016-01-30T16:00:00+08:00,2016-01-30T09:00:00Z,2016-01-30T17:00:00+08:00
63.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T08:30:00Z,2016-01-30T16:30:00+08:00,2016-01-30T09:30:00Z,2016-01-30T17:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T08:30:00Z,2016-01-30T16:30:00+08:00,2016-01-30T09:30:00Z,2016-01-30T17:30:00+08:00
66.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T09:00:00Z,2016-01-30T17:00:00+08:00,2016-01-30T10:00:00Z,2016-01-30T18:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T09:00:00Z,2016-01-30T17:00:00+08:00,2016-01-30T10:00:00Z,2016-01-30T18:00:00+08:00
63.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T09:30:00Z,2016-01-30T17:30:00+08:00,2016-01-30T10:30:00Z,2016-01-30T18:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T09:30:00Z,2016-01-30T17:30:00+08:00,2016-01-30T10:30:00Z,2016-01-30T18:30:00+08:00
68.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T10:00:00Z,2016-01-30T18:00:00+08:00,2016-01-30T11:00:00Z,2016-01-30T19:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T10:00:00Z,2016-01-30T18:00:00+08:00,2016-01-30T11:00:00Z,2016-01-30T19:00:00+08:00
82.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T10:30:00Z,2016-01-30T18:30:00+08:00,2016-01-30T11:30:00Z,2016-01-30T19:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T10:30:00Z,2016-01-30T18:30:00+08:00,2016-01-30T11:30:00Z,2016-01-30T19:30:00+08:00
84.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T11:00:00Z,2016-01-30T19:00:00+08:00,2016-01-30T12:00:00Z,2016-01-30T20:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T11:00:00Z,2016-01-30T19:00:00+08:00,2016-01-30T12:00:00Z,2016-01-30T20:00:00+08:00
92.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T11:30:00Z,2016-01-30T19:30:00+08:00,2016-01-30T12:30:00Z,2016-01-30T20:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T11:30:00Z,2016-01-30T19:30:00+08:00,2016-01-30T12:30:00Z,2016-01-30T20:30:00+08:00
92.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T12:00:00Z,2016-01-30T20:00:00+08:00,2016-01-30T13:00:00Z,2016-01-30T21:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T12:00:00Z,2016-01-30T20:00:00+08:00,2016-01-30T13:00:00Z,2016-01-30T21:00:00+08:00
