value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
28.51,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-29T21:00:00-03:00,2016-01-30T01:00:00Z,2016-01-29T22:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:00:00Z,2016-01-29T21:00:00-03:00,2016-01-30T01:00:00Z,2016-01-29T22:00:00-03:00
35.88,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-29T22:00:00-03:00,2016-01-30T02:00:00Z,2016-01-29T23:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:00:00Z,2016-01-29T22:00:00-03:00,2016-01-30T02:00:00Z,2016-01-29T23:00:00-03:00
28.83,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T02:00:00Z,2016-01-29T23:00:00-03:00,2016-01-30T03:00:00Z,2016-01-30T00:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T02:00:00Z,2016-01-29T23:00:00-03:00,2016-01-30T03:00:00Z,2016-01-30T00:00:00-03:00
34.15,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T03:00:00Z,2016-01-30T00:00:00-03:00,2016-01-30T04:00:00Z,2016-01-30T01:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T03:00:00Z,2016-01-30T00:00:00-03:00,2016-01-30T04:00:00Z,2016-01-30T01:00:00-03:00
31.96,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T04:00:00Z,2016-01-30T01:00:00-03:00,2016-01-30T05:00:00Z,2016-01-30T02:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T04:00:00Z,2016-01-30T01:00:00-03:00,2016-01-30T05:00:00Z,2016-01-30T02:00:00-03:00
31.02,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T05:00:00Z,2016-01-30T02:00:00-03:00,2016-01-30T06:00:00Z,2016-01-30T03:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T05:00:00Z,2016-01-30T02:00:00-03:00,2016-01-30T06:00:00Z,2016-01-30T03:00:00-03:00
29.92,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T06:00:00Z,2016-01-30T03:00:00-03:00,2016-01-30T07:00:00Z,2016-01-30T04:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T06:00:00Z,2016-01-30T03:00:00-03:00,2016-01-30T07:00:00Z,2016-01-30T04:00:00-03:00
31.8,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T07:00:00Z,2016-01-30T04:00:00-03:00,2016-01-30T08:00:00Z,2016-01-30T05:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T07:00:00Z,2016-01-30T04:00:00-03:00,2016-01-30T08:00:00Z,2016-01-30T05:00:00-03:00
32.12,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T08:00:00Z,2016-01-30T05:00:00-03:00,2016-01-30T09:00:00Z,2016-01-30T06:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T08:00:00Z,2016-01-30T05:00:00-03:00,2016-01-30T09:00:00Z,2016-01-30T06:00:00-03:00
31.96,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T09:00:00Z,2016-01-30T06:00:00-03:00,2016-01-30T10:00:00Z,2016-01-30T07:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T09:00:00Z,2016-01-30T06:00:00-03:00,2016-01-30T10:00:00Z,2016-01-30T07:00:00-03:00
