value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
59.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-30T00:00:00Z,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:00:00Z,2016-01-30T00:00:00Z,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z
37.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z
38.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z
47.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z
55.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z
52.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z
68.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z
89.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z
80.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z
73.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z
79.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z,2016-01-30T11:00:00Z,2016-01-30T11:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z,2016-01-30T11:00:00Z,2016-01-30T11:00:00Z
62.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T11:00:00Z,2016-01-30T11:00:00Z,2016-01-30T12:00:00Z,2016-01-30T12:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T11:00:00Z,2016-01-30T11:00:00Z,2016-01-30T12:00:00Z,2016-01-30T12:00:00Z
38.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T12:00:00Z,2016-01-30T12:00:00Z,2016-01-30T13:00:00Z,2016-01-30T13:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T12:00:00Z,2016-01-30T12:00:00Z,2016-01-30T13:00:00Z,2016-01-30T13:00:00Z
51.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T13:00:00Z,2016-01-30T13:00:00Z,2016-01-30T14:00:00Z,2016-01-30T14:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T13:00:00Z,2016-01-30T13:00:00Z,2016-01-30T14:00:00Z,2016-01-30T14:00:00Z
65.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T14:00:00Z,2016-01-30T14:00:00Z,2016-01-30T15:00:00Z,2016-01-30T15:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T14:00:00Z,2016-01-30T14:00:00Z,2016-01-30T15:00:00Z,2016-01-30T15:00:00Z
77.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T15:00:00Z,2016-01-30T15:00:00Z,2016-01-30T16:00:00Z,2016-01-30T16:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T15:00:00Z,2016-01-30T15:00:00Z,2016-01-30T16:00:00Z,2016-01-30T16:00:00Z
105.0,,,False,5,no2,µg/m³,,raw,01:00:00,2016-01-30T16:00:00Z,2016-01-30T16:00:00Z,2016-01-30T17:00:00Z,2016-01-30T17:00:00Z,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T16:00:00Z,2016-01-30T16:00:00Z,2016-01-30T17:00:00Z,2016-01-30T17:00:00Z
