value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
173.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-29T23:15:00Z,2016-01-30T07:15:00+08:00,2016-01-30T00:15:00Z,2016-01-30T08:15:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-29T23:15:00Z,2016-01-30T07:15:00+08:00,2016-01-30T00:15:00Z,2016-01-30T08:15:00+08:00
183.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-29T23:30:00Z,2016-01-30T07:30:00+08:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-29T23:30:00Z,2016-01-30T07:30:00+08:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00
186.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-29T23:45:00Z,2016-01-30T07:45:00+08:00,2016-01-30T00:45:00Z,2016-01-30T08:45:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-29T23:45:00Z,2016-01-30T07:45:00+08:00,2016-01-30T00:45:00Z,2016-01-30T08:45:00+08:00
188.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-30T08:00:00+08:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:00:00Z,2016-01-30T08:00:00+08:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00
192.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T00:15:00Z,2016-01-30T08:15:00+08:00,2016-01-30T01:15:00Z,2016-01-30T09:15:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:15:00Z,2016-01-30T08:15:00+08:00,2016-01-30T01:15:00Z,2016-01-30T09:15:00+08:00
191.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:30:00Z,2016-01-30T08:30:00+08:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00
191.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T00:45:00Z,2016-01-30T08:45:00+08:00,2016-01-30T01:45:00Z,2016-01-30T09:45:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:45:00Z,2016-01-30T08:45:00+08:00,2016-01-30T01:45:00Z,2016-01-30T09:45:00+08:00
191.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:00:00Z,2016-01-30T09:00:00+08:00,2016-01-30T02:00:00Z,2016-01-30T10:00:00+08:00
182.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T01:15:00Z,2016-01-30T09:15:00+08:00,2016-01-30T02:15:00Z,2016-01-30T10:15:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:15:00Z,2016-01-30T09:15:00+08:00,2016-01-30T02:15:00Z,2016-01-30T10:15:00+08:00
172.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:30:00Z,2016-01-30T09:30:00+08:00,2016-01-30T02:30:00Z,2016-01-30T10:30:00+08:00
