value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
8.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T11:00:00Z,2020-10-13T12:00:00+01:00,2020-10-13T12:00:00Z,2020-10-13T13:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T12:00:00Z,2020-10-12T13:00:00+01:00,2020-10-13T12:00:00Z,2020-10-13T13:00:00+01:00
8.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T12:00:00Z,2020-10-13T13:00:00+01:00,2020-10-13T13:00:00Z,2020-10-13T14:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T13:00:00Z,2020-10-12T14:00:00+01:00,2020-10-13T13:00:00Z,2020-10-13T14:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T13:00:00Z,2020-10-13T14:00:00+01:00,2020-10-13T14:00:00Z,2020-10-13T15:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T14:00:00Z,2020-10-12T15:00:00+01:00,2020-10-13T14:00:00Z,2020-10-13T15:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T14:00:00Z,2020-10-13T15:00:00+01:00,2020-10-13T15:00:00Z,2020-10-13T16:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T15:00:00Z,2020-10-12T16:00:00+01:00,2020-10-13T15:00:00Z,2020-10-13T16:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T15:00:00Z,2020-10-13T16:00:00+01:00,2020-10-13T16:00:00Z,2020-10-13T17:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T16:00:00Z,2020-10-12T17:00:00+01:00,2020-10-13T16:00:00Z,2020-10-13T17:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T16:00:00Z,2020-10-13T17:00:00+01:00,2020-10-13T17:00:00Z,2020-10-13T18:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T17:00:00Z,2020-10-12T18:00:00+01:00,2020-10-13T17:00:00Z,2020-10-13T18:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T17:00:00Z,2020-10-13T18:00:00+01:00,2020-10-13T18:00:00Z,2020-10-13T19:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T18:00:00Z,2020-10-12T19:00:00+01:00,2020-10-13T18:00:00Z,2020-10-13T19:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T18:00:00Z,2020-10-13T19:00:00+01:00,2020-10-13T19:00:00Z,2020-10-13T20:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T19:00:00Z,2020-10-12T20:00:00+01:00,2020-10-13T19:00:00Z,2020-10-13T20:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T19:00:00Z,2020-10-13T20:00:00+01:00,2020-10-13T20:00:00Z,2020-10-13T21:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T20:00:00Z,2020-10-12T21:00:00+01:00,2020-10-13T20:00:00Z,2020-10-13T21:00:00+01:00
9.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T20:00:00Z,2020-10-13T21:00:00+01:00,2020-10-13T21:00:00Z,2020-10-13T22:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T21:00:00Z,2020-10-12T22:00:00+01:00,2020-10-13T21:00:00Z,2020-10-13T22:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T21:00:00Z,2020-10-13T22:00:00+01:00,2020-10-13T22:00:00Z,2020-10-13T23:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T22:00:00Z,2020-10-12T23:00:00+01:00,2020-10-13T22:00:00Z,2020-10-13T23:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T22:00:00Z,2020-10-13T23:00:00+01:00,2020-10-13T23:00:00Z,2020-10-14T00:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-12T23:00:00Z,2020-10-13T00:00:00+01:00,2020-10-13T23:00:00Z,2020-10-14T00:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-13T23:00:00Z,2020-10-14T00:00:00+01:00,2020-10-14T00:00:00Z,2020-10-14T01:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T00:00:00Z,2020-10-13T01:00:00+01:00,2020-10-14T00:00:00Z,2020-10-14T01:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T00:00:00Z,2020-10-14T01:00:00+01:00,2020-10-14T01:00:00Z,2020-10-14T02:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T01:00:00Z,2020-10-13T02:00:00+01:00,2020-10-14T01:00:00Z,2020-10-14T02:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T01:00:00Z,2020-10-14T02:00:00+01:00,2020-10-14T02:00:00Z,2020-10-14T03:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T02:00:00Z,2020-10-13T03:00:00+01:00,2020-10-14T02:00:00Z,2020-10-14T03:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T02:00:00Z,2020-10-14T03:00:00+01:00,2020-10-14T03:00:00Z,2020-10-14T04:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T03:00:00Z,2020-10-13T04:00:00+01:00,2020-10-14T03:00:00Z,2020-10-14T04:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T03:00:00Z,2020-10-14T04:00:00+01:00,2020-10-14T04:00:00Z,2020-10-14T05:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T04:00:00Z,2020-10-13T05:00:00+01:00,2020-10-14T04:00:00Z,2020-10-14T05:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T04:00:00Z,2020-10-14T05:00:00+01:00,2020-10-14T05:00:00Z,2020-10-14T06:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T05:00:00Z,2020-10-13T06:00:00+01:00,2020-10-14T05:00:00Z,2020-10-14T06:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T05:00:00Z,2020-10-14T06:00:00+01:00,2020-10-14T06:00:00Z,2020-10-14T07:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T06:00:00Z,2020-10-13T07:00:00+01:00,2020-10-14T06:00:00Z,2020-10-14T07:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T06:00:00Z,2020-10-14T07:00:00+01:00,2020-10-14T07:00:00Z,2020-10-14T08:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T07:00:00Z,2020-10-13T08:00:00+01:00,2020-10-14T07:00:00Z,2020-10-14T08:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T07:00:00Z,2020-10-14T08:00:00+01:00,2020-10-14T08:00:00Z,2020-10-14T09:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T08:00:00Z,2020-10-13T09:00:00+01:00,2020-10-14T08:00:00Z,2020-10-14T09:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T08:00:00Z,2020-10-14T09:00:00+01:00,2020-10-14T09:00:00Z,2020-10-14T10:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T09:00:00Z,2020-10-13T10:00:00+01:00,2020-10-14T09:00:00Z,2020-10-14T10:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T09:00:00Z,2020-10-14T10:00:00+01:00,2020-10-14T10:00:00Z,2020-10-14T11:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T10:00:00Z,2020-10-13T11:00:00+01:00,2020-10-14T10:00:00Z,2020-10-14T11:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T10:00:00Z,2020-10-14T11:00:00+01:00,2020-10-14T11:00:00Z,2020-10-14T12:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T11:00:00Z,2020-10-13T12:00:00+01:00,2020-10-14T11:00:00Z,2020-10-14T12:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T11:00:00Z,2020-10-14T12:00:00+01:00,2020-10-14T12:00:00Z,2020-10-14T13:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T12:00:00Z,2020-10-13T13:00:00+01:00,2020-10-14T12:00:00Z,2020-10-14T13:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T12:00:00Z,2020-10-14T13:00:00+01:00,2020-10-14T13:00:00Z,2020-10-14T14:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T13:00:00Z,2020-10-13T14:00:00+01:00,2020-10-14T13:00:00Z,2020-10-14T14:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T13:00:00Z,2020-10-14T14:00:00+01:00,2020-10-14T14:00:00Z,2020-10-14T15:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T14:00:00Z,2020-10-13T15:00:00+01:00,2020-10-14T14:00:00Z,2020-10-14T15:00:00+01:00
10.0,,,False,1,pm10,µg/m³,,raw,01:00:00,2020-10-14T14:00:00Z,2020-10-14T15:00:00+01:00,2020-10-14T15:00:00Z,2020-10-14T16:00:00+01:00,1,01:00:00,1,24:00:00,100.0,2400.0,2020-10-13T15:00:00Z,2020-10-13T16:00:00+01:00,2020-10-14T15:00:00Z,2020-10-14T16:00:00+01:00
