value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
34.53,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T04:00:00Z,2016-02-12T01:00:00-03:00,2016-02-12T05:00:00Z,2016-02-12T02:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T04:00:00Z,2016-02-12T01:00:00-03:00,2016-02-12T05:00:00Z,2016-02-12T02:00:00-03:00
13.8,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T08:00:00Z,2016-02-12T05:00:00-03:00,2016-02-12T09:00:00Z,2016-02-12T06:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T08:00:00Z,2016-02-12T05:00:00-03:00,2016-02-12T09:00:00Z,2016-02-12T06:00:00-03:00
10.75,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T13:00:00Z,2016-02-12T10:00:00-03:00,2016-02-12T14:00:00Z,2016-02-12T11:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T13:00:00Z,2016-02-12T10:00:00-03:00,2016-02-12T14:00:00Z,2016-02-12T11:00:00-03:00
13.56,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T14:00:00Z,2016-02-12T11:00:00-03:00,2016-02-12T15:00:00Z,2016-02-12T12:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T14:00:00Z,2016-02-12T11:00:00-03:00,2016-02-12T15:00:00Z,2016-02-12T12:00:00-03:00
12.74,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T15:00:00Z,2016-02-12T12:00:00-03:00,2016-02-12T16:00:00Z,2016-02-12T13:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T15:00:00Z,2016-02-12T12:00:00-03:00,2016-02-12T16:00:00Z,2016-02-12T13:00:00-03:00
8.802,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T16:00:00Z,2016-02-12T13:00:00-03:00,2016-02-12T17:00:00Z,2016-02-12T14:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T16:00:00Z,2016-02-12T13:00:00-03:00,2016-02-12T17:00:00Z,2016-02-12T14:00:00-03:00
7.904,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T17:00:00Z,2016-02-12T14:00:00-03:00,2016-02-12T18:00:00Z,2016-02-12T15:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T17:00:00Z,2016-02-12T14:00:00-03:00,2016-02-12T18:00:00Z,2016-02-12T15:00:00-03:00
7.556,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T18:00:00Z,2016-02-12T15:00:00-03:00,2016-02-12T19:00:00Z,2016-02-12T16:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T18:00:00Z,2016-02-12T15:00:00-03:00,2016-02-12T19:00:00Z,2016-02-12T16:00:00-03:00
9.441,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T19:00:00Z,2016-02-12T16:00:00-03:00,2016-02-12T20:00:00Z,2016-02-12T17:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T19:00:00Z,2016-02-12T16:00:00-03:00,2016-02-12T20:00:00Z,2016-02-12T17:00:00-03:00
9.492,,,False,2,pm25,µg/m³,,raw,01:00:00,2016-02-12T20:00:00Z,2016-02-12T17:00:00-03:00,2016-02-12T21:00:00Z,2016-02-12T18:00:00-03:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-02-12T20:00:00Z,2016-02-12T17:00:00-03:00,2016-02-12T21:00:00Z,2016-02-12T18:00:00-03:00
