value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
45.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-30T00:00:00Z,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T17:00:00Z,2016-01-29T17:00:00Z,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z
49.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T18:00:00Z,2016-01-29T18:00:00Z,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z
52.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T19:00:00Z,2016-01-29T19:00:00Z,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z
55.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T03:00:00Z,2016-01-30T03:00:00Z,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T20:00:00Z,2016-01-29T20:00:00Z,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z
56.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T04:00:00Z,2016-01-30T04:00:00Z,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T21:00:00Z,2016-01-29T21:00:00Z,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z
57.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T05:00:00Z,2016-01-30T05:00:00Z,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T22:00:00Z,2016-01-29T22:00:00Z,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z
56.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T06:00:00Z,2016-01-30T06:00:00Z,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-29T23:00:00Z,2016-01-29T23:00:00Z,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z
51.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T07:00:00Z,2016-01-30T07:00:00Z,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-30T00:00:00Z,2016-01-30T00:00:00Z,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z
46.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T08:00:00Z,2016-01-30T08:00:00Z,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-30T01:00:00Z,2016-01-30T01:00:00Z,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z
41.0,,,False,3,o3,µg/m³,,raw,01:00:00,2016-01-30T09:00:00Z,2016-01-30T09:00:00Z,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z,1,01:00:00,1,08:00:00,100.0,800.0,2016-01-30T02:00:00Z,2016-01-30T02:00:00Z,2016-01-30T10:00:00Z,2016-01-30T10:00:00Z
