value,coordinates,summary,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
210.48,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T00:00:00Z,2016-01-30T01:00:00+01:00,2016-01-30T01:00:00Z,2016-01-30T02:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T00:00:00Z,2016-01-30T01:00:00+01:00,2016-01-30T01:00:00Z,2016-01-30T02:00:00+01:00
201.17,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T01:00:00Z,2016-01-30T02:00:00+01:00,2016-01-30T02:00:00Z,2016-01-30T03:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T01:00:00Z,2016-01-30T02:00:00+01:00,2016-01-30T02:00:00Z,2016-01-30T03:00:00+01:00
194.73,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T02:00:00Z,2016-01-30T03:00:00+01:00,2016-01-30T03:00:00Z,2016-01-30T04:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T02:00:00Z,2016-01-30T03:00:00+01:00,2016-01-30T03:00:00Z,2016-01-30T04:00:00+01:00
222.13,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T03:00:00Z,2016-01-30T04:00:00+01:00,2016-01-30T04:00:00Z,2016-01-30T05:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T03:00:00Z,2016-01-30T04:00:00+01:00,2016-01-30T04:00:00Z,2016-01-30T05:00:00+01:00
217.39,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T04:00:00Z,2016-01-30T05:00:00+01:00,2016-01-30T05:00:00Z,2016-01-30T06:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T04:00:00Z,2016-01-30T05:00:00+01:00,2016-01-30T05:00:00Z,2016-01-30T06:00:00+01:00
206.61,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T05:00:00Z,2016-01-30T06:00:00+01:00,2016-01-30T06:00:00Z,2016-01-30T07:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T05:00:00Z,2016-01-30T06:00:00+01:00,2016-01-30T06:00:00Z,2016-01-30T07:00:00+01:00
200.47,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T06:00:00Z,2016-01-30T07:00:00+01:00,2016-01-30T07:00:00Z,2016-01-30T08:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T06:00:00Z,2016-01-30T07:00:00+01:00,2016-01-30T07:00:00Z,2016-01-30T08:00:00+01:00
215.68,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T07:00:00Z,2016-01-30T08:00:00+01:00,2016-01-30T08:00:00Z,2016-01-30T09:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T07:00:00Z,2016-01-30T08:00:00+01:00,2016-01-30T08:00:00Z,2016-01-30T09:00:00+01:00
194.02,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T08:00:00Z,2016-01-30T09:00:00+01:00,2016-01-30T09:00:00Z,2016-01-30T10:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T08:00:00Z,2016-01-30T09:00:00+01:00,2016-01-30T09:00:00Z,2016-01-30T10:00:00+01:00
201.38,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T09:00:00Z,2016-01-30T10:00:00+01:00,2016-01-30T10:00:00Z,2016-01-30T11:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T09:00:00Z,2016-01-30T10:00:00+01:00,2016-01-30T10:00:00Z,2016-01-30T11:00:00+01:00
218.6,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T10:00:00Z,2016-01-30T11:00:00+01:00,2016-01-30T11:00:00Z,2016-01-30T12:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T10:00:00Z,2016-01-30T11:00:00+01:00,2016-01-30T11:00:00Z,2016-01-30T12:00:00+01:00
223.94,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T11:00:00Z,2016-01-30T12:00:00+01:00,2016-01-30T12:00:00Z,2016-01-30T13:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T11:00:00Z,2016-01-30T12:00:00+01:00,2016-01-30T12:00:00Z,2016-01-30T13:00:00+01:00
215.68,,,False,4,co,µg/m³,,raw,01:00:00,2016-01-30T12:00:00Z,2016-01-30T13:00:00+01:00,2016-01-30T13:00:00Z,2016-01-30T14:00:00+01:00,1,01:00:00,1,01:00:00,100.0,100.0,2016-01-30T12:00:00Z,2016-01-30T13:00:00+01:00,2016-01-30T13:00:00Z,2016-01-30T14:00:00+01:00
